holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,road_name,road_type,traffic_volume
,14.06,0.0,0.0,45,Clouds,few clouds,01/01/2022 00:00,Cairo-Suez Road,Gateway,903
,12.64,0.0,0.0,12,Clear,clear sky,01/01/2022 01:00,Cairo-Suez Road,Gateway,606
,13.36,0.0,0.0,70,Clouds,few clouds,01/01/2022 02:00,Cairo-Suez Road,Gateway,514
,12.19,5.0,0.0,78,Rain,light rain,01/01/2022 03:00,Cairo-Suez Road,Gateway,381
,11.35,0.0,0.0,13,Clear,clear sky,01/01/2022 04:00,Cairo-Suez Road,Gateway,514
,9.31,0.0,0.0,23,Clouds,scattered clouds,01/01/2022 05:00,Cairo-Suez Road,Gateway,681
,8.32,0.0,0.0,37,Haze,haze,01/01/2022 06:00,Cairo-Suez Road,Gateway,966
,8.31,0.0,0.0,11,Clear,clear sky,01/01/2022 07:00,Cairo-Suez Road,Gateway,1488
,10.47,0.0,0.0,41,Clouds,scattered clouds,01/01/2022 08:00,Cairo-Suez Road,Gateway,1611
,8.01,0.0,0.0,14,Clear,clear sky,01/01/2022 09:00,Cairo-Suez Road,Gateway,2093
,6.0,0.0,0.0,4,Clear,clear sky,01/01/2022 10:00,Cairo-Suez Road,Gateway,2272
,8.57,0.0,0.0,3,Clear,clear sky,01/01/2022 11:00,Cairo-Suez Road,Gateway,2159
,8.73,0.0,0.0,73,Clouds,few clouds,01/01/2022 12:00,Cairo-Suez Road,Gateway,2567
,10.61,0.0,0.0,4,Clear,clear sky,01/01/2022 13:00,Cairo-Suez Road,Gateway,2413
,11.74,0.0,0.0,48,Clouds,few clouds,01/01/2022 14:00,Cairo-Suez Road,Gateway,2222
,11.13,0.0,0.0,10,Clear,clear sky,01/01/2022 15:00,Cairo-Suez Road,Gateway,2112
,12.08,0.0,0.0,9,Clear,clear sky,01/01/2022 16:00,Cairo-Suez Road,Gateway,1869
,14.83,0.0,0.0,48,Clouds,few clouds,01/01/2022 17:00,Cairo-Suez Road,Gateway,2387
,16.81,0.0,0.0,56,Clouds,scattered clouds,01/01/2022 18:00,Cairo-Suez Road,Gateway,2427
,16.13,0.0,0.0,0,Clear,clear sky,01/01/2022 19:00,Cairo-Suez Road,Gateway,2371
,15.54,0.0,0.0,12,Clear,clear sky,01/01/2022 20:00,Cairo-Suez Road,Gateway,2549
,16.45,0.0,0.0,36,Clouds,scattered clouds,01/01/2022 21:00,Cairo-Suez Road,Gateway,2187
,16.45,0.0,0.0,45,Clouds,scattered clouds,01/01/2022 22:00,Cairo-Suez Road,Gateway,1591
,15.85,0.0,0.0,12,Clear,clear sky,01/01/2022 23:00,Cairo-Suez Road,Gateway,1085
,14.9,0.0,0.0,13,Clear,clear sky,01/02/2022 00:00,Cairo-Suez Road,Gateway,374
,15.57,0.0,0.0,50,Clouds,scattered clouds,01/02/2022 01:00,Cairo-Suez Road,Gateway,238
,13.24,0.0,0.0,9,Clear,clear sky,01/02/2022 02:00,Cairo-Suez Road,Gateway,170
,10.57,0.0,0.0,5,Clear,clear sky,01/02/2022 03:00,Cairo-Suez Road,Gateway,198
,10.21,0.0,0.0,65,Clouds,scattered clouds,01/02/2022 04:00,Cairo-Suez Road,Gateway,280
,8.17,0.0,0.0,78,Clouds,scattered clouds,01/02/2022 05:00,Cairo-Suez Road,Gateway,708
,8.02,0.0,0.0,1,Clear,clear sky,01/02/2022 06:00,Cairo-Suez Road,Gateway,1344
,8.09,0.0,0.0,6,Clear,clear sky,01/02/2022 07:00,Cairo-Suez Road,Gateway,2286
,7.35,0.0,0.0,49,Clouds,broken clouds,01/02/2022 08:00,Cairo-Suez Road,Gateway,2811
,9.47,0.0,0.0,63,Clouds,scattered clouds,01/02/2022 09:00,Cairo-Suez Road,Gateway,2001
,7.51,0.0,0.0,11,Clear,clear sky,01/02/2022 10:00,Cairo-Suez Road,Gateway,1464
,8.27,0.0,0.0,0,Clear,clear sky,01/02/2022 11:00,Cairo-Suez Road,Gateway,1475
,7.57,0.0,0.0,37,Clouds,scattered clouds,01/02/2022 12:00,Cairo-Suez Road,Gateway,1395
,10.52,0.0,0.0,13,Clear,clear sky,01/02/2022 13:00,Cairo-Suez Road,Gateway,1532
,9.25,0.0,0.0,28,Haze,haze,01/02/2022 14:00,Cairo-Suez Road,Gateway,1531
,16.44,0.0,0.0,11,Clear,clear sky,01/02/2022 15:00,Cairo-Suez Road,Gateway,1736
,10.16,0.0,0.0,68,Clouds,scattered clouds,01/02/2022 16:00,Cairo-Suez Road,Gateway,2020
,13.65,0.0,0.0,4,Clear,clear sky,01/02/2022 17:00,Cairo-Suez Road,Gateway,2610
,15.84,0.0,0.0,52,Clouds,few clouds,01/02/2022 18:00,Cairo-Suez Road,Gateway,2641
,15.67,0.0,0.0,2,Clear,clear sky,01/02/2022 19:00,Cairo-Suez Road,Gateway,2509
,17.09,0.0,0.0,39,Clouds,scattered clouds,01/02/2022 20:00,Cairo-Suez Road,Gateway,1728
,15.62,0.0,0.0,1,Clear,clear sky,01/02/2022 21:00,Cairo-Suez Road,Gateway,1243
,15.66,0.0,0.0,6,Clear,clear sky,01/02/2022 22:00,Cairo-Suez Road,Gateway,779
,16.97,0.0,0.0,42,Haze,haze,01/02/2022 23:00,Cairo-Suez Road,Gateway,480
,14.6,0.0,0.0,2,Clear,clear sky,01/03/2022 00:00,Cairo-Suez Road,Gateway,347
,12.63,0.0,0.0,2,Clear,clear sky,01/03/2022 01:00,Cairo-Suez Road,Gateway,243
,13.58,0.0,0.0,33,Clouds,scattered clouds,01/03/2022 02:00,Cairo-Suez Road,Gateway,196
,12.38,0.0,0.0,13,Clear,clear sky,01/03/2022 03:00,Cairo-Suez Road,Gateway,186
,11.4,0.0,0.0,11,Clear,clear sky,01/03/2022 04:00,Cairo-Suez Road,Gateway,292
,7.5,0.9,0.0,89,Rain,moderate rain,01/03/2022 05:00,Cairo-Suez Road,Gateway,696
,7.94,0.0,0.0,5,Clear,clear sky,01/03/2022 06:00,Cairo-Suez Road,Gateway,1422
,8.68,0.0,0.0,8,Clear,clear sky,01/03/2022 07:00,Cairo-Suez Road,Gateway,2324
,6.97,0.0,0.0,14,Clear,clear sky,01/03/2022 08:00,Cairo-Suez Road,Gateway,3071
,8.01,0.0,0.0,0,Clear,clear sky,01/03/2022 09:00,Cairo-Suez Road,Gateway,1705
,5.95,0.0,0.0,11,Clear,clear sky,01/03/2022 10:00,Cairo-Suez Road,Gateway,1227
,9.09,0.0,0.0,54,Clouds,few clouds,01/03/2022 11:00,Cairo-Suez Road,Gateway,1180
,7.79,0.0,0.0,14,Clear,clear sky,01/03/2022 12:00,Cairo-Suez Road,Gateway,1556
,11.56,0.0,0.0,38,Clouds,scattered clouds,01/03/2022 13:00,Cairo-Suez Road,Gateway,1541
,10.42,3.4,0.0,65,Rain,light rain,01/03/2022 14:00,Cairo-Suez Road,Gateway,1211
,12.39,0.0,0.0,9,Clear,clear sky,01/03/2022 15:00,Cairo-Suez Road,Gateway,2018
,12.06,0.0,0.0,64,Clouds,scattered clouds,01/03/2022 16:00,Cairo-Suez Road,Gateway,1907
,15.02,0.0,0.0,68,Clouds,few clouds,01/03/2022 17:00,Cairo-Suez Road,Gateway,2895
,14.6,0.0,0.0,47,Clouds,few clouds,01/03/2022 18:00,Cairo-Suez Road,Gateway,2843
,15.58,0.0,0.0,33,Clouds,scattered clouds,01/03/2022 19:00,Cairo-Suez Road,Gateway,2343
,14.24,0.0,0.0,36,Clouds,scattered clouds,01/03/2022 20:00,Cairo-Suez Road,Gateway,2107
,15.4,0.0,0.0,6,Clear,clear sky,01/03/2022 21:00,Cairo-Suez Road,Gateway,1514
,15.12,0.0,0.0,7,Clear,clear sky,01/03/2022 22:00,Cairo-Suez Road,Gateway,863
,14.9,0.0,0.0,55,Clouds,few clouds,01/03/2022 23:00,Cairo-Suez Road,Gateway,518
,16.22,1.9,0.0,83,Rain,light rain,01/04/2022 00:00,Cairo-Suez Road,Gateway,272
,14.13,0.0,0.0,2,Clear,clear sky,01/04/2022 01:00,Cairo-Suez Road,Gateway,244
,14.03,0.0,0.0,7,Clear,clear sky,01/04/2022 02:00,Cairo-Suez Road,Gateway,194
,12.11,0.0,0.0,10,Clear,clear sky,01/04/2022 03:00,Cairo-Suez Road,Gateway,192
,11.21,0.0,0.0,49,Clouds,broken clouds,01/04/2022 04:00,Cairo-Suez Road,Gateway,353
,11.89,0.0,0.0,2,Clear,clear sky,01/04/2022 05:00,Cairo-Suez Road,Gateway,742
,6.83,0.0,0.0,1,Clear,clear sky,01/04/2022 06:00,Cairo-Suez Road,Gateway,1593
,5.09,5.1,0.0,93,Rain,light rain,01/04/2022 07:00,Cairo-Suez Road,Gateway,2114
,6.5,0.0,0.0,33,Haze,haze,01/04/2022 08:00,Cairo-Suez Road,Gateway,2550
,6.88,0.0,0.0,66,Clouds,few clouds,01/04/2022 09:00,Cairo-Suez Road,Gateway,1999
,9.41,0.0,0.0,12,Clear,clear sky,01/04/2022 10:00,Cairo-Suez Road,Gateway,1295
,8.15,0.0,0.0,47,Clouds,scattered clouds,01/04/2022 11:00,Cairo-Suez Road,Gateway,1281
,8.99,0.0,0.0,9,Clear,clear sky,01/04/2022 12:00,Cairo-Suez Road,Gateway,1263
,9.04,0.0,0.0,3,Clear,clear sky,01/04/2022 13:00,Cairo-Suez Road,Gateway,1552
,10.24,0.0,0.0,67,Clouds,scattered clouds,01/04/2022 14:00,Cairo-Suez Road,Gateway,1633
,13.8,0.0,0.0,14,Clear,clear sky,01/04/2022 15:00,Cairo-Suez Road,Gateway,1739
,13.99,0.0,0.0,32,Clouds,broken clouds,01/04/2022 16:00,Cairo-Suez Road,Gateway,2109
,13.49,0.0,0.0,68,Clouds,scattered clouds,01/04/2022 17:00,Cairo-Suez Road,Gateway,2849
,16.74,0.0,0.0,7,Clear,clear sky,01/04/2022 18:00,Cairo-Suez Road,Gateway,2896
,17.49,0.0,0.0,71,Clouds,scattered clouds,01/04/2022 19:00,Cairo-Suez Road,Gateway,2887
,14.5,0.0,0.0,10,Clear,clear sky,01/04/2022 20:00,Cairo-Suez Road,Gateway,1631
,19.3,0.0,0.0,28,Clouds,few clouds,01/04/2022 21:00,Cairo-Suez Road,Gateway,1387
,15.34,0.0,0.0,25,Clouds,few clouds,01/04/2022 22:00,Cairo-Suez Road,Gateway,758
,16.83,0.0,0.0,3,Clear,clear sky,01/04/2022 23:00,Cairo-Suez Road,Gateway,577
,12.12,0.0,0.0,60,Clouds,scattered clouds,01/05/2022 00:00,Cairo-Suez Road,Gateway,362
,16.95,0.0,0.0,51,Clouds,few clouds,01/05/2022 01:00,Cairo-Suez Road,Gateway,200
,14.2,0.9,0.0,88,Rain,moderate rain,01/05/2022 02:00,Cairo-Suez Road,Gateway,168
,11.16,0.0,0.0,1,Clear,clear sky,01/05/2022 03:00,Cairo-Suez Road,Gateway,204
,11.08,0.0,0.0,12,Clear,clear sky,01/05/2022 04:00,Cairo-Suez Road,Gateway,294
,9.3,0.0,0.0,11,Clear,clear sky,01/05/2022 05:00,Cairo-Suez Road,Gateway,711
,9.99,0.0,0.0,8,Clear,clear sky,01/05/2022 06:00,Cairo-Suez Road,Gateway,1544
,6.58,0.0,0.0,46,Clouds,scattered clouds,01/05/2022 07:00,Cairo-Suez Road,Gateway,2242
,8.46,0.0,0.0,28,Clouds,few clouds,01/05/2022 08:00,Cairo-Suez Road,Gateway,3053
,8.28,0.0,0.0,42,Clouds,scattered clouds,01/05/2022 09:00,Cairo-Suez Road,Gateway,2130
,6.88,0.0,0.0,27,Clouds,broken clouds,01/05/2022 10:00,Cairo-Suez Road,Gateway,1489
,7.85,0.0,0.0,27,Clouds,scattered clouds,01/05/2022 11:00,Cairo-Suez Road,Gateway,1458
,6.61,0.0,0.0,78,Clouds,few clouds,01/05/2022 12:00,Cairo-Suez Road,Gateway,1349
,10.31,0.0,0.0,6,Clear,clear sky,01/05/2022 13:00,Cairo-Suez Road,Gateway,1594
,7.26,0.0,0.0,0,Clear,clear sky,01/05/2022 14:00,Cairo-Suez Road,Gateway,1501
,13.07,0.0,0.0,72,Clouds,broken clouds,01/05/2022 15:00,Cairo-Suez Road,Gateway,1699
,13.66,0.0,0.0,12,Clear,clear sky,01/05/2022 16:00,Cairo-Suez Road,Gateway,2038
,14.82,0.0,0.0,0,Clear,clear sky,01/05/2022 17:00,Cairo-Suez Road,Gateway,2813
,16.34,0.4,0.0,60,Rain,light rain,01/05/2022 18:00,Cairo-Suez Road,Gateway,2610
,14.41,0.0,0.0,20,Clouds,scattered clouds,01/05/2022 19:00,Cairo-Suez Road,Gateway,2221
,15.83,0.0,0.0,60,Clouds,broken clouds,01/05/2022 20:00,Cairo-Suez Road,Gateway,1759
,18.65,0.0,0.0,68,Clouds,few clouds,01/05/2022 21:00,Cairo-Suez Road,Gateway,1460
,15.7,0.0,0.0,1,Clear,clear sky,01/05/2022 22:00,Cairo-Suez Road,Gateway,833
,16.49,0.0,0.0,27,Clouds,scattered clouds,01/05/2022 23:00,Cairo-Suez Road,Gateway,493
,13.33,0.0,0.0,0,Clear,clear sky,01/06/2022 00:00,Cairo-Suez Road,Gateway,350
,17.09,0.0,0.0,31,Clouds,scattered clouds,01/06/2022 01:00,Cairo-Suez Road,Gateway,213
,11.74,0.0,0.0,0,Clear,clear sky,01/06/2022 02:00,Cairo-Suez Road,Gateway,190
,13.4,0.0,0.0,22,Clouds,scattered clouds,01/06/2022 03:00,Cairo-Suez Road,Gateway,183
,9.11,0.0,0.0,8,Clear,clear sky,01/06/2022 04:00,Cairo-Suez Road,Gateway,298
,10.0,0.0,0.0,47,Clouds,scattered clouds,01/06/2022 05:00,Cairo-Suez Road,Gateway,741
,7.96,3.6,0.0,81,Rain,moderate rain,01/06/2022 06:00,Cairo-Suez Road,Gateway,1291
,8.26,3.1,0.0,87,Rain,moderate rain,01/06/2022 07:00,Cairo-Suez Road,Gateway,2097
,10.3,0.0,0.0,14,Clear,clear sky,01/06/2022 08:00,Cairo-Suez Road,Gateway,2795
,5.74,0.0,0.0,2,Clear,clear sky,01/06/2022 09:00,Cairo-Suez Road,Gateway,2094
,7.65,0.0,0.0,29,Clouds,scattered clouds,01/06/2022 10:00,Cairo-Suez Road,Gateway,1152
,6.0,0.0,0.0,44,Clouds,scattered clouds,01/06/2022 11:00,Cairo-Suez Road,Gateway,1272
,11.38,0.0,0.0,2,Clear,clear sky,01/06/2022 12:00,Cairo-Suez Road,Gateway,1329
,8.9,0.0,0.0,33,Clouds,scattered clouds,01/06/2022 13:00,Cairo-Suez Road,Gateway,1525
,11.65,0.0,0.0,34,Clouds,scattered clouds,01/06/2022 14:00,Cairo-Suez Road,Gateway,1693
,12.02,0.0,0.0,11,Clear,clear sky,01/06/2022 15:00,Cairo-Suez Road,Gateway,2029
,15.46,0.0,0.0,8,Clear,clear sky,01/06/2022 16:00,Cairo-Suez Road,Gateway,2260
,14.26,0.0,0.0,13,Clear,clear sky,01/06/2022 17:00,Cairo-Suez Road,Gateway,2475
,14.27,0.0,0.0,5,Clear,clear sky,01/06/2022 18:00,Cairo-Suez Road,Gateway,3021
,17.97,0.0,0.0,7,Clear,clear sky,01/06/2022 19:00,Cairo-Suez Road,Gateway,2594
,17.52,0.0,0.0,7,Clear,clear sky,01/06/2022 20:00,Cairo-Suez Road,Gateway,1935
,16.51,0.0,0.0,30,Clouds,scattered clouds,01/06/2022 21:00,Cairo-Suez Road,Gateway,1110
,18.89,0.0,0.0,62,Clouds,broken clouds,01/06/2022 22:00,Cairo-Suez Road,Gateway,792
,11.89,0.0,0.0,2,Clear,clear sky,01/06/2022 23:00,Cairo-Suez Road,Gateway,505
Coptic Christmas,16.19,0.0,0.0,26,Dust,sand/dust whirls,01/07/2022 00:00,Cairo-Suez Road,Gateway,941
Coptic Christmas,14.06,0.0,0.0,38,Clouds,scattered clouds,01/07/2022 01:00,Cairo-Suez Road,Gateway,816
Coptic Christmas,14.48,0.0,0.0,11,Clear,clear sky,01/07/2022 02:00,Cairo-Suez Road,Gateway,683
Coptic Christmas,13.35,0.0,0.0,7,Clear,clear sky,01/07/2022 03:00,Cairo-Suez Road,Gateway,659
Coptic Christmas,9.38,0.0,0.0,68,Clouds,scattered clouds,01/07/2022 04:00,Cairo-Suez Road,Gateway,638
Coptic Christmas,8.84,0.0,0.0,14,Clear,clear sky,01/07/2022 05:00,Cairo-Suez Road,Gateway,1085
Coptic Christmas,8.86,0.0,0.0,48,Clouds,few clouds,01/07/2022 06:00,Cairo-Suez Road,Gateway,1416
Coptic Christmas,7.0,0.0,0.0,7,Clear,clear sky,01/07/2022 07:00,Cairo-Suez Road,Gateway,2014
Coptic Christmas,8.13,0.0,0.0,2,Clear,clear sky,01/07/2022 08:00,Cairo-Suez Road,Gateway,2476
Coptic Christmas,5.82,0.0,0.0,7,Clear,clear sky,01/07/2022 09:00,Cairo-Suez Road,Gateway,2242
Coptic Christmas,7.55,0.0,0.0,53,Clouds,broken clouds,01/07/2022 10:00,Cairo-Suez Road,Gateway,2857
Coptic Christmas,7.98,0.0,0.0,58,Clouds,few clouds,01/07/2022 11:00,Cairo-Suez Road,Gateway,2830
Coptic Christmas,9.46,0.0,0.0,13,Clear,clear sky,01/07/2022 12:00,Cairo-Suez Road,Gateway,3384
Coptic Christmas,12.56,0.0,0.0,70,Clouds,few clouds,01/07/2022 13:00,Cairo-Suez Road,Gateway,3217
Coptic Christmas,9.58,5.1,0.0,75,Rain,light rain,01/07/2022 14:00,Cairo-Suez Road,Gateway,2430
Coptic Christmas,12.51,0.0,0.0,5,Clear,clear sky,01/07/2022 15:00,Cairo-Suez Road,Gateway,2928
Coptic Christmas,14.65,0.0,0.0,4,Clear,clear sky,01/07/2022 16:00,Cairo-Suez Road,Gateway,2879
Coptic Christmas,15.33,2.0,0.0,67,Rain,light rain,01/07/2022 17:00,Cairo-Suez Road,Gateway,2313
Coptic Christmas,15.93,0.0,0.0,2,Clear,clear sky,01/07/2022 18:00,Cairo-Suez Road,Gateway,3454
Coptic Christmas,18.34,0.0,0.0,38,Dust,sand/dust whirls,01/07/2022 19:00,Cairo-Suez Road,Gateway,3136
Coptic Christmas,17.38,0.0,0.0,50,Clouds,few clouds,01/07/2022 20:00,Cairo-Suez Road,Gateway,3087
Coptic Christmas,15.4,0.0,0.0,63,Clouds,few clouds,01/07/2022 21:00,Cairo-Suez Road,Gateway,3083
Coptic Christmas,15.07,0.0,0.0,58,Clouds,scattered clouds,01/07/2022 22:00,Cairo-Suez Road,Gateway,2311
Coptic Christmas,14.5,0.0,0.0,32,Haze,haze,01/07/2022 23:00,Cairo-Suez Road,Gateway,1520
,13.06,0.0,0.0,37,Clouds,scattered clouds,01/08/2022 00:00,Cairo-Suez Road,Gateway,812
,15.72,0.0,0.0,0,Clear,clear sky,01/08/2022 01:00,Cairo-Suez Road,Gateway,612
,14.07,0.0,0.0,12,Haze,haze,01/08/2022 02:00,Cairo-Suez Road,Gateway,487
,11.05,0.0,0.0,67,Clouds,scattered clouds,01/08/2022 03:00,Cairo-Suez Road,Gateway,451
,11.38,0.0,0.0,23,Clouds,few clouds,01/08/2022 04:00,Cairo-Suez Road,Gateway,501
,9.85,0.0,0.0,5,Clear,clear sky,01/08/2022 05:00,Cairo-Suez Road,Gateway,638
,7.26,0.0,0.0,64,Clouds,few clouds,01/08/2022 06:00,Cairo-Suez Road,Gateway,1142
,6.75,0.0,0.0,11,Clear,clear sky,01/08/2022 07:00,Cairo-Suez Road,Gateway,1607
,7.22,0.0,0.0,77,Clouds,broken clouds,01/08/2022 08:00,Cairo-Suez Road,Gateway,1597
,6.2,0.0,0.0,7,Clear,clear sky,01/08/2022 09:00,Cairo-Suez Road,Gateway,1857
,5.61,0.0,0.0,44,Clouds,scattered clouds,01/08/2022 10:00,Cairo-Suez Road,Gateway,2438
,7.06,0.0,0.0,71,Clouds,broken clouds,01/08/2022 11:00,Cairo-Suez Road,Gateway,1927
,8.04,0.0,0.0,8,Clear,clear sky,01/08/2022 12:00,Cairo-Suez Road,Gateway,2186
,10.29,0.0,0.0,13,Clear,clear sky,01/08/2022 13:00,Cairo-Suez Road,Gateway,2113
,13.79,0.0,0.0,58,Clouds,few clouds,01/08/2022 14:00,Cairo-Suez Road,Gateway,2218
,12.92,0.0,0.0,4,Clear,clear sky,01/08/2022 15:00,Cairo-Suez Road,Gateway,1861
